Name,Suitable Moisture,Suitable Temperature,Weather Condition,Region Found,Crop Infected
Pink Stem Borer (Sesamia inferens),Moderate ,20-30°C,"Dry, hot","Haryana, Punjab, Rajasthan",Wheat
Gram Pod Borer (Helicoverpa armigera),Moderate ,18-32°C,"Warm, dry","Throughout India",Wheat
Termites (Odontotermes obesus, Moderate,40-60°C,Dry,"Haryana, Rajasthan, Punjab",Wheat
Molya Nematode (Heterodera avenae),Low ,15-25°C,"Cool, temperate","Rajasthan, Haryana","Wheat, Barley"
Wheat Gall Nematode (Anguina tricici),Low ,10-20°C,Cool,"Rajasthan, Punjab, Haryana","Wheat, Barley, Rye"
